category,sample_idx,layer_idx,max_attn_idx
10,0,0,0-1-0-0-0-0-0-0-0-0-0-0-12-12-12-2-15-15-15-15-15-15-15-15-15-15-15
10,0,0,0-0-1-1-1-1-1-1-1-1-1-1-1-1-0-2-13-13-13-13-13-13-13-13-13-13-1
10,0,0,0-0-0-0-0-0-0-0-0-0-0-0-12-12-12-2-15-15-15-15-15-15-15-15-15-15-26
10,0,0,0-0-2-2-2-2-2-2-2-2-2-2-0-0-13-2-13-13-13-13-13-13-13-13-13-13-2
10,0,0,0-0-2-2-2-2-2-2-2-2-2-2-12-13-13-2-14-14-14-14-14-14-14-14-14-14-2
10,0,0,0-1-1-1-1-1-1-1-1-1-1-1-0-1-0-2-12-12-12-12-12-12-12-12-12-12-14
10,0,0,0-0-1-1-1-1-1-1-1-1-1-1-1-1-1-2-1-1-1-1-1-1-1-1-1-1-1
10,0,0,0-1-1-1-1-1-1-1-1-1-1-1-0-13-14-2-1-1-1-1-1-1-1-1-1-1-26
10,0,0,0-0-0-0-0-0-0-0-0-0-0-0-12-13-13-2-0-0-0-0-0-0-0-0-0-0-12
10,0,0,0-0-2-2-2-2-2-2-2-2-2-2-0-12-1-2-12-12-12-12-12-12-12-12-12-12-26
10,0,0,0-1-1-1-1-1-1-1-1-1-1-1-12-13-14-2-1-1-1-1-1-1-1-1-1-1-26
10,0,0,0-0-1-1-1-1-1-1-1-1-1-1-1-12-13-2-14-14-14-14-14-14-14-14-14-14-2
10,0,1,0-0-2-3-3-5-6-7-8-8-8-8-12-11-14-15-15-13-13-15-15-15-15-13-13-13-15
10,0,1,0-1-2-2-3-3-3-2-2-2-8-8-12-0-1-8-12-12-12-12-12-12-12-12-12-12-13
10,0,1,0-0-1-1-1-1-1-1-1-1-1-1-2-1-13-5-1-1-1-1-1-1-1-1-1-1-13
10,0,1,0-0-2-2-2-2-2-2-2-2-2-2-11-13-13-15-13-13-13-13-13-13-13-13-13-13-13
10,0,1,0-0-2-3-4-5-6-7-8-8-8-8-12-12-13-11-15-15-15-15-15-15-15-15-15-15-15
10,0,1,0-0-2-2-2-2-2-2-2-2-2-2-0-13-13-15-12-12-12-12-12-12-12-12-12-12-13
10,0,1,0-0-0-0-0-0-0-0-0-0-0-0-12-1-1-11-14-14-14-14-14-14-14-14-14-14-14
10,0,1,0-0-2-3-3-3-3-3-3-3-2-2-4-3-14-2-14-14-14-14-14-14-14-14-14-14-13
10,0,1,0-1-2-2-2-2-2-7-7-7-7-7-2-12-1-8-13-13-13-13-13-13-13-13-13-13-13
10,0,1,0-0-0-0-4-5-6-7-8-8-9-9-12-12-1-2-14-14-14-14-14-14-14-14-14-14-12
10,0,1,0-0-2-2-2-2-2-7-8-8-8-8-12-13-13-13-13-13-13-13-13-13-13-13-13-13-12
10,0,1,0-0-2-2-2-2-2-2-2-2-2-2-1-12-14-12-12-12-12-12-12-12-12-12-12-12-13
10,0,2,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-12-0-0-0-0-0-0-0-0-0-0-0
10,0,2,0-0-2-2-2-5-6-7-8-8-8-8-11-7-13-12-12-12-12-12-12-12-12-12-12-12-12
10,0,2,0-0-2-2-2-2-6-7-8-8-8-8-12-12-14-12-12-12-12-12-12-12-12-12-12-12-1
10,0,2,0-0-0-0-0-0-0-0-0-0-0-0-12-12-12-12-12-12-12-12-12-12-12-12-12-12-12
10,0,2,0-1-2-2-2-2-2-7-8-9-10-11-0-13-1-15-13-13-13-13-13-13-13-13-13-13-14
10,0,2,0-0-2-3-4-5-6-7-8-8-8-8-12-12-1-13-13-13-13-13-13-13-13-13-13-13-15
10,0,2,0-0-2-3-4-5-6-6-6-9-10-11-11-11-11-15-15-15-15-15-15-15-15-15-15-15-15
10,0,2,0-0-2-2-2-2-2-2-2-2-2-2-12-1-1-2-16-17-18-18-18-18-18-18-18-18-1
10,0,2,0-0-2-3-4-4-1-7-8-1-1-1-12-13-1-2-13-13-13-13-13-13-13-13-13-13-13
10,0,2,0-0-2-2-2-2-2-2-2-2-2-0-12-0-14-13-13-13-13-13-13-13-13-13-13-13-1
10,0,2,0-1-2-2-2-2-2-2-2-2-2-2-0-0-0-2-14-14-14-14-14-14-14-14-14-14-2
10,0,2,0-1-2-0-0-0-0-0-0-0-0-0-12-12-1-14-0-0-0-0-0-0-0-0-0-0-12
10,0,3,0-0-1-3-4-5-5-7-8-9-10-10-12-12-1-13-13-13-13-13-13-13-13-13-13-13-13
10,0,3,0-0-2-2-2-2-2-2-2-2-2-2-12-12-12-2-2-2-2-2-2-2-2-2-2-2-1
10,0,3,0-1-2-3-4-5-6-7-7-7-8-8-12-1-1-15-12-12-12-12-12-12-12-12-12-12-15
10,0,3,0-1-2-2-2-2-2-2-2-2-2-0-0-0-0-0-13-13-13-13-13-13-13-13-13-13-0
10,0,3,0-0-2-3-4-5-0-0-0-0-0-0-1-1-1-12-1-1-1-1-1-1-1-1-1-1-1
10,0,3,0-0-2-2-0-0-0-0-0-0-0-0-1-1-14-0-1-1-1-14-14-0-0-1-1-14-14
10,0,3,0-0-2-2-2-2-2-2-2-2-2-2-12-13-13-2-0-0-0-13-13-0-0-0-0-13-1
10,0,3,0-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1
10,0,3,0-0-2-3-4-5-6-7-8-9-10-11-12-8-14-12-12-12-12-12-12-12-12-12-12-12-1
10,0,3,0-0-2-3-4-5-6-7-8-9-10-11-12-12-0-15-12-12-12-12-13-13-12-12-13-13-0
10,0,3,0-1-1-1-1-1-1-1-1-1-1-1-12-13-1-12-12-12-12-12-12-12-12-12-12-12-12
10,0,3,0-1-2-3-4-5-6-7-8-8-8-8-12-12-12-12-12-12-12-12-12-12-12-12-12-15-12
10,0,4,0-0-2-2-2-2-2-2-2-2-2-2-12-12-14-15-14-14-14-14-14-14-14-14-14-14-14
10,0,4,0-0-0-0-0-0-0-0-0-0-0-0-12-1-12-12-13-13-13-13-13-13-13-13-13-13-13
10,0,4,0-0-2-3-4-5-5-5-5-9-10-11-11-1-1-11-15-15-18-18-18-21-21-21-21-21-21
10,0,4,0-0-2-3-3-3-3-7-8-8-8-8-4-4-4-11-16-17-18-19-19-18-18-23-24-25-19
10,0,4,0-0-0-3-4-4-4-4-4-4-4-4-4-3-4-5-4-4-4-4-4-4-4-4-4-4-4
10,0,4,0-1-2-3-4-5-6-6-6-9-10-11-11-11-1-14-14-14-14-14-14-14-14-14-14-1-1
10,0,4,0-1-2-3-3-5-6-6-6-6-6-6-9-11-11-2-2-1-1-3-3-2-1-1-1-1-3
10,0,4,0-1-2-2-2-2-2-2-2-2-2-2-0-0-0-2-1-1-1-1-1-1-1-1-1-1-1
10,0,4,0-0-2-2-2-2-2-2-2-2-2-2-1-13-13-15-0-0-0-0-1-0-0-0-0-0-1
10,0,4,0-1-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-1-1-1-2-2-2-1-1
10,0,4,0-0-2-3-4-5-6-7-8-9-10-11-0-13-13-9-12-12-12-12-12-12-12-12-12-12-12
10,0,4,0-1-2-2-2-5-2-2-2-2-2-2-12-13-14-2-2-2-2-2-2-1-1-1-1-2-2
10,0,5,0-0-2-3-4-5-6-6-6-9-10-11-11-11-10-11-11-11-18-19-20-19-19-23-24-25-25
10,0,5,0-1-2-3-4-5-6-7-8-9-9-9-12-6-12-12-12-12-12-12-12-12-12-12-12-12-12
