category,sample_idx,layer_idx,head_idx,kl
2,0,0,0,0.15862015
2,0,0,1,0.27019927
2,0,0,2,0.39483956
2,0,0,3,1.0723724
2,0,0,4,1.3963736
2,0,0,5,0.4962065
2,0,0,6,0.16772896
2,0,0,7,0.32231638
2,0,0,8,0.2225321
2,0,0,9,0.35127035
2,0,0,10,0.046673343
2,0,0,11,0.40175292
2,0,1,0,0.67349553
2,0,1,1,1.4874908
2,0,1,2,0.17162894
2,0,1,3,0.3410273
2,0,1,4,0.3614138
2,0,1,5,0.2674429
2,0,1,6,1.1483234
2,0,1,7,0.2511334
2,0,1,8,3.3753357
2,0,1,9,1.3812283
2,0,1,10,0.3495774
2,0,1,11,0.16252936
2,0,2,0,0.32725266
2,0,2,1,0.053721227
2,0,2,2,0.9738659
2,0,2,3,1.8884064
2,0,2,4,1.1301519
2,0,2,5,0.55859315
2,0,2,6,0.46514797
2,0,2,7,0.3407421
2,0,2,8,1.9627427
2,0,2,9,0.31934488
2,0,2,10,0.6751495
2,0,2,11,0.9655123
2,0,3,0,0.21487528
2,0,3,1,1.0305114
2,0,3,2,1.4421029
2,0,3,3,1.7148954
2,0,3,4,3.5334826
2,0,3,5,0.63281685
2,0,3,6,0.15885729
2,0,3,7,0.4758775
2,0,3,8,0.5631222
2,0,3,9,0.8942098
2,0,3,10,0.25628942
2,0,3,11,0.6211683
2,0,4,0,0.45031092
2,0,4,1,0.22088203
2,0,4,2,0.3051852
2,0,4,3,0.5099644
2,0,4,4,0.26560134
2,0,4,5,2.5281656
2,0,4,6,0.13053446
2,0,4,7,0.29403195
2,0,4,8,0.22787824
2,0,4,9,0.41191322
2,0,4,10,0.97206205
2,0,4,11,1.47177
2,0,5,0,2.7620773
2,0,5,1,0.61157995
2,0,5,2,0.7959551
2,0,5,3,0.21356669
2,0,5,4,0.62331754
2,0,5,5,0.98549265
2,0,5,6,1.0658039
2,0,5,7,1.2363881
2,0,5,8,0.4467881
2,0,5,9,0.261264
2,0,5,10,0.31785572
2,0,5,11,0.23958029
2,0,6,0,0.30047667
2,0,6,1,3.8848548
2,0,6,2,0.10366493
2,0,6,3,0.5254947
2,0,6,4,0.4629338
2,0,6,5,0.2947892
2,0,6,6,0.64157695
2,0,6,7,0.83104074
2,0,6,8,0.27042085
2,0,6,9,0.53366333
2,0,6,10,0.67728835
2,0,6,11,0.5438423
2,0,7,0,0.8832623
2,0,7,1,0.9550715
2,0,7,2,2.622734
2,0,7,3,0.8836412
2,0,7,4,4.01124
2,0,7,5,0.41006956
2,0,7,6,1.5331135
2,0,7,7,1.4030086
2,0,7,8,0.44074532
2,0,7,9,2.3613915
2,0,7,10,0.84864634
2,0,7,11,2.0148993
2,0,8,0,0.6199661
2,0,8,1,0.275018
2,0,8,2,2.6287777
2,0,8,3,2.442578
2,0,8,4,1.1058984
2,0,8,5,0.7304202
2,0,8,6,0.6580487
2,0,8,7,0.56195885
2,0,8,8,1.1784639
2,0,8,9,0.40343916
