category,sample_idx,layer_idx,head_idx,kl
2,0,0,0,2.9998026
2,0,0,1,1.2804121
2,0,0,2,2.8740869
2,0,0,3,3.0730214
2,0,0,4,2.0834951
2,0,0,5,3.242929
2,0,0,6,2.6849682
2,0,0,7,2.0856957
2,0,0,8,1.6743896
2,0,0,9,4.7405334
2,0,0,10,1.0214036
2,0,0,11,4.3650928
2,0,1,0,2.6148725
2,0,1,1,1.5560669
2,0,1,2,2.1506488
2,0,1,3,2.333225
2,0,1,4,2.335116
2,0,1,5,1.0979085
2,0,1,6,2.9058967
2,0,1,7,2.860722
2,0,1,8,3.9028625
2,0,1,9,5.1998034
2,0,1,10,4.0152636
2,0,1,11,1.6165615
2,0,2,0,2.7040665
2,0,2,1,1.1843687
2,0,2,2,1.5343691
2,0,2,3,2.7339814
2,0,2,4,1.4956038
2,0,2,5,2.077539
2,0,2,6,2.470242
2,0,2,7,4.004562
2,0,2,8,1.3123941
2,0,2,9,2.111121
2,0,2,10,1.8170497
2,0,2,11,1.5657673
2,0,3,0,2.1082165
2,0,3,1,3.4852104
2,0,3,2,1.272341
2,0,3,3,1.6802219
2,0,3,4,1.5912926
2,0,3,5,1.4202187
2,0,3,6,1.1472116
2,0,3,7,0.65259314
2,0,3,8,2.9079287
2,0,3,9,0.89070445
2,0,3,10,5.9629645
2,0,3,11,2.0958295
2,0,4,0,1.9803692
2,0,4,1,2.626396
2,0,4,2,5.7881966
2,0,4,3,13.592436
2,0,4,4,2.0080314
2,0,4,5,7.550293
2,0,4,6,9.614813
2,0,4,7,3.2584012
2,0,4,8,1.7190254
2,0,4,9,1.6067505
2,0,4,10,7.9644976
2,0,4,11,1.9987549
2,0,5,0,11.176239
2,0,5,1,6.403044
2,0,5,2,1.2914784
2,0,5,3,2.7540958
2,0,5,4,1.8148502
2,0,5,5,7.3705993
2,0,5,6,9.262264
2,0,5,7,1.6800768
2,0,5,8,1.105107
2,0,5,9,1.546249
2,0,5,10,1.4202993
2,0,5,11,1.3372644
2,0,6,0,2.3706565
2,0,6,1,2.5388436
2,0,6,2,1.9523704
2,0,6,3,2.8538766
2,0,6,4,2.6026294
2,0,6,5,2.6510856
2,0,6,6,3.2071557
2,0,6,7,1.2646873
2,0,6,8,2.1444123
2,0,6,9,3.2088141
2,0,6,10,0.8371975
2,0,6,11,2.221476
2,0,7,0,1.4992224
2,0,7,1,2.1717525
2,0,7,2,1.8069961
2,0,7,3,2.4265854
2,0,7,4,1.3289129
2,0,7,5,1.0354278
2,0,7,6,1.3475904
2,0,7,7,3.5896733
2,0,7,8,5.9484653
2,0,7,9,2.267256
2,0,7,10,3.961099
2,0,7,11,4.0819964
2,0,8,0,8.4420805
2,0,8,1,6.4853907
2,0,8,2,0.98322594
2,0,8,3,11.430361
2,0,8,4,3.4516125
2,0,8,5,7.526231
2,0,8,6,1.7611787
2,0,8,7,4.2408643
2,0,8,8,1.5254539
2,0,8,9,4.6180067
2,0,8,10,1.809812
2,0,8,11,9.9190645
2,0,9,0,3.2828388
2,0,9,1,11.392434
2,0,9,2,3.0467153
2,0,9,3,3.0270505
2,0,9,4,2.6214013
2,0,9,5,7.5942626
2,0,9,6,14.536295
2,0,9,7,11.140457
2,0,9,8,4.3834825
2,0,9,9,13.986441
2,0,9,10,5.395012
2,0,9,11,9.426577
2,0,10,0,8.797927
2,0,10,1,1.0554488
2,0,10,2,3.2113178
2,0,10,3,10.675886
2,0,10,4,3.1748214
2,0,10,5,6.6109743
2,0,10,6,4.9126062
2,0,10,7,1.1177074
2,0,10,8,2.0628304
2,0,10,9,1.7742822
2,0,10,10,7.8469925
2,0,10,11,4.737951
2,0,11,0,2.2776732
2,0,11,1,5.1494164
2,0,11,2,4.9344335
2,0,11,3,1.08627
2,0,11,4,1.0113146
