category,sample_idx,layer_idx,head_idx,kl
2,0,0,0,2.7781484
2,0,0,1,3.6530855
2,0,0,2,6.0891676
2,0,0,3,5.3920107
2,0,0,4,4.571532
2,0,0,5,2.787662
2,0,0,6,3.9137125
2,0,0,7,3.9287672
2,0,0,8,3.9350278
2,0,0,9,2.5470266
2,0,0,10,3.007328
2,0,0,11,5.1765103
2,0,1,0,6.89948
2,0,1,1,3.9836996
2,0,1,2,5.625039
2,0,1,3,3.2947974
2,0,1,4,5.8517613
2,0,1,5,5.031002
2,0,1,6,9.039914
2,0,1,7,3.6576097
2,0,1,8,5.272867
2,0,1,9,4.171789
2,0,1,10,7.6070085
2,0,1,11,2.279836
2,0,2,0,3.0342095
2,0,2,1,2.9523773
2,0,2,2,2.320424
2,0,2,3,3.852552
2,0,2,4,2.001746
2,0,2,5,6.4777217
2,0,2,6,1.6864604
2,0,2,7,8.333991
2,0,2,8,3.707308
2,0,2,9,4.4106655
2,0,2,10,3.9108949
2,0,2,11,10.926433
2,0,3,0,6.390668
2,0,3,1,6.611618
2,0,3,2,7.2440643
2,0,3,3,5.7438054
2,0,3,4,3.9250197
2,0,3,5,3.0705073
2,0,3,6,4.1342454
2,0,3,7,8.029395
2,0,3,8,5.063519
2,0,3,9,2.5775506
2,0,3,10,3.2601256
2,0,3,11,1.9524354
2,0,4,0,2.092097
2,0,4,1,2.9144158
2,0,4,2,2.9120817
2,0,4,3,2.292414
2,0,4,4,2.4182465
2,0,4,5,4.6607084
2,0,4,6,3.1996071
2,0,4,7,2.5933561
2,0,4,8,4.2373586
2,0,4,9,2.3903992
2,0,4,10,4.2532897
2,0,4,11,1.8216144
2,0,5,0,2.3993447
2,0,5,1,6.516568
2,0,5,2,2.6617649
2,0,5,3,2.322953
2,0,5,4,2.947235
2,0,5,5,2.6578407
2,0,5,6,4.472317
2,0,5,7,3.8679016
2,0,5,8,6.942634
2,0,5,9,3.2120833
2,0,5,10,10.41251
2,0,5,11,3.412865
2,0,6,0,3.84004
2,0,6,1,4.183508
2,0,6,2,1.9033185
2,0,6,3,1.8434826
2,0,6,4,3.6944246
2,0,6,5,3.8905091
2,0,6,6,3.6610231
2,0,6,7,3.149222
2,0,6,8,2.364309
2,0,6,9,2.4910223
2,0,6,10,7.552689
2,0,6,11,4.0649824
2,0,7,0,3.06801
2,0,7,1,7.395361
2,0,7,2,3.9961565
2,0,7,3,5.3386693
2,0,7,4,3.9296923
2,0,7,5,2.9343803
2,0,7,6,2.7837203
2,0,7,7,4.5884185
2,0,7,8,2.874919
